id,date,name,done,description
7,2023-01-29,用變聲器直播1天,1,
18,2023-01-29,玩《女鬼橋》,1,
73,2023-01-29,通過ManaCube Insane難度任一關卡,1,
26,2023-02-05,玩ALTF4,1,
39,2023-02-05,玩RL Craft,0,
27,2023-03-05,玩ALTF4 2,0,
86,2023-03-05,繼續玩ALTF4,1,
28,2023-03-11,玩At Dead of Night,1,
21,2023-03-12,玩一張恐怖地圖,1,
12,2023-03-19,抽Nitro,1,
76,2023-03-19,速通到終界2小時20分鐘,1,
16,2023-03-26,玩 Hypixel,1,
17,2023-03-26,玩 Poppy Playtime,1,
15,2023-03-28,玩 Garten of Banban,1,
63,2023-04-02,計畫《監控圍城2》,1,
97,2023-04-09,SkyBlock 100等,2,
69,2023-04-10,剪自己的嬌喘影片發DC群,1,
3,2023-04-23,加班台2小時,1,
79,2023-04-23,開加班台,1,
55,2023-04-29,直播禁止講跟黃色有關的東西,1,
36,2023-04-30,玩Poppy Playtime 第二章,1,
44,2023-04-30,直播兩小時Hypixel,1,
77,2023-04-30,開亡國之戰公共伺服器,1,
35,2023-05-07,玩PIEN,1,
70,2023-05-10,唱 Tunak Tunak Tun,1,
64,2023-05-21,破黑暗詭計鴨子關 👻,1,
62,2023-05-31,城市天際線2人口3萬或者解鎖高級商業區,0,
14,2023-06-05,玩 Franchise Half Life,0,
32,2023-06-11,玩Metro: Last Night,0,
71,2023-06-11,唱小蠻腰,1,
78,2023-06-25,開亡國伺服器,1,
96,2023-06-25,SkyBlock 100等,1,
74,2023-07-02,通關《佛萊迪的五夜驚魂：安全漏洞》,3,
6,2023-07-09,用腳畫畫,1,
8,2023-07-23,把歌詞都改成喵,1,
10,2023-07-23,每10分鐘嬌喘一次,1,
41,2023-07-23,玩slimemo,1,
68,2023-07-23,做出1.20所有鍛造模板的鎖鏈靴子,0,
5,2023-07-30,打完星鐵主線 (⚔️ 雅利洛-VI),3,
72,2023-07-30,深夜台玩恐怖遊戲,1,
75,2023-08-06,通關《壺男》,2,
95,2023-08-13,Project 2M 16目標全達成,0,
29,2023-08-20,玩CTM大地復甦,1,
33,2023-08-20,玩Muse Dash,0,
66,2023-08-20,破Garten of Banban 2 👻,0,
91,2023-08-20,Hypixel 與觀眾同樂時一場內弄死所有觀眾,1,
0,2023-09-10,五個觀眾出高中數學題 二十分鐘內答出來 不能作弊 超時懲罰+1,1,
19,2023-09-10,玩1個小時only up,2,
24,2023-09-10,玩迷你世界,1,
40,2023-09-10,玩roblox 一個熱門rp遊戲,0,
65,2023-09-10,破關死亡與稅賦,0,
80,2023-09-10,開加班台,1,
